date,week,car_name,price,engine,seater,
2023.8.26,토,모닝 어반 ,"52,800원",가솔린 ,5,
2023.8.26,토,스파크 ,"52,800원",가솔린 ,5,
2023.8.26,토,ALL NEW K3 ,"54,000원",가솔린 ,5,
2023.8.26,토,아반떼 AD ,"54,000원",가솔린 ,5,
2023.8.26,토,INTERACTIVE K5 ,"56,000원",LPG ,5,
2023.8.26,토,더 뉴 코나 4WD ,"56,000원",가솔린 ,5,
2023.8.26,토,쏘나타 DN8 ,"56,000원",LPG ,5,
2023.8.26,토,코나 ,"56,000원",가솔린 ,5,
2023.8.26,토,더 뉴 K3 ,"58,500원",가솔린 ,5,
2023.8.26,토,쏘울 부스터 ,"58,500원",가솔린 ,5,
2023.8.26,토,올 뉴 아반떼 ,"58,500원",가솔린 ,5,
2023.8.26,토,INTERACTIVE K5 ,"59,500원",가솔린 ,5,
2023.8.26,토,쏘나타 DN8 ,"59,500원",가솔린 ,5,
2023.8.26,토,XM3 1.4 ,"60,000원",가솔린 ,5,
2023.8.26,토,디 올 뉴 코나 4WD ,"60,000원",가솔린 ,5,
2023.8.26,토,베리 뉴 티볼리 ,"60,000원",가솔린 ,5,
2023.8.26,토,베리 뉴 티볼리 에어 ,"60,000원",가솔린 ,5,
2023.8.26,토,셀토스 2WD ,"60,000원",가솔린 ,5,
2023.8.26,토,셀토스 4WD ,"60,000원",디젤 ,5,
2023.8.26,토,셀토스 4WD ,"60,000원",가솔린 ,5,
2023.8.26,토,트레일 블레이저 2WD ,"60,000원",가솔린 ,5,
2023.8.26,토,코나 ,"64,000원",전기 ,5,
2023.8.26,토,캐스퍼 ,"66,000원",가솔린 ,4,
2023.8.26,토,니로 ,"68,000원",전기 ,5,
2023.8.26,토,THE NEW G70 2.0 ,"78,400원",가솔린 ,5,
2023.8.26,토,토레스 4WD ,"80,000원",가솔린 ,5,
2023.8.26,토,G70 SHOOTING BRAKE ,"80,500원",가솔린 ,5,
2023.8.26,토,K7 PREMIER ,"81,900원",가솔린 ,5,
2023.8.26,토,더 뉴 그랜저 2.5 ,"81,900원",가솔린 ,5,
2023.8.26,토,싼타페 TM 4WD ,"84,000원",디젤 ,7,
2023.8.26,토,K8 2.5 ,"87,500원",가솔린 ,5,
2023.8.26,토,EV6 4WD ,"88,000원",전기 ,5,
2023.8.26,토,더 뉴 싼타페 4WD ,"88,000원",디젤 ,7,
2023.8.26,토,쏘렌토 MQ4 7인승 4WD ,"88,000원",디젤 ,7,
2023.8.26,토,아이오닉 5 4WD ,"88,000원",전기 ,5,
2023.8.26,토,All New G80 2.5 ,"105,000원",가솔린 ,5,
2023.8.26,토,제네시스 G80 3.3 ,"105,000원",가솔린 ,5,
2023.8.26,토,GV60 4WD ,"112,000원",전기 ,5,
2023.8.26,토,GV70 4WD ,"112,000원",디젤 ,5,
2023.8.26,토,GV70 ,"120,000원",전기 ,5,
2023.8.26,토,더 뉴 카니발 ,"121,000원",디젤 ,11,
2023.8.26,토,더 뉴 카니발 ,"121,000원",디젤 ,9,
2023.8.26,토,스타리아 ,"126,500원",디젤 ,11,
2023.8.26,토,카니발 KA4 ,"126,500원",디젤 ,9,
2023.8.26,토,TESLA MODEL 3 ,"132,000원",전기 ,5,
2023.8.26,토,팰리세이드 4WD ,"132,000원",디젤 ,8,
2023.8.26,토,THE K9 3.8 ,"133,000원",가솔린 ,5,
2023.8.26,토,더 뉴 카니발 리무진 ,"137,500원",디젤 ,7,
2023.8.26,토,GV80 4WD ,"160,000원",디젤 ,7,
2023.8.26,토,카니발 KA4 하이리무진 ,"162,000원",가솔린 ,7,
2023.8.26,토,G90 3.8 ,"171,500원",가솔린 ,5,
2023.8.26,토,All New G80 ,"172,000원",전기 ,5,
2023.8.26,토,쏠라티 ,"357,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,