date,week,car_name,price,engine,seater,,,,,
2023.7.30,일,모닝 어반 ,"88,000원",가솔린 ,5,,,,,
2023.7.30,일,디 올 뉴 코나 4WD ,"97,500원",가솔린 ,5,,,,,
2023.7.30,일,셀토스 4WD ,"97,500원",가솔린 ,5,,,,,
2023.7.30,일,아반떼 AD ,"102,000원",가솔린 ,5,,,,,
2023.7.30,일,토레스 4WD ,"110,000원",가솔린 ,5,,,,,
2023.7.30,일,INTERACTIVE K5 ,"110,500원",가솔린 ,5,,,,,
2023.7.30,일,더 뉴 K3 ,"110,500원",가솔린 ,5,,,,,
2023.7.30,일,쏘나타 DN8 ,"110,500원",가솔린 ,5,,,,,
2023.7.30,일,올 뉴 아반떼 ,"110,500원",가솔린 ,5,,,,,
2023.7.30,일,K7 PREMIER ,"117,000원",가솔린 ,5,,,,,
2023.7.30,일,더 뉴 그랜저 2.5 ,"117,000원",가솔린 ,5,,,,,
2023.7.30,일,EV6 4WD ,"121,000원",전기 ,5,,,,,
2023.7.30,일,쏘렌토 MQ4 4WD ,"121,000원",디젤 ,7,,,,,
2023.7.30,일,아이오닉 5 4WD ,"121,000원",전기 ,5,,,,,
2023.7.30,일,K8 2.5 ,"125,000원",가솔린 ,5,,,,,
2023.7.30,일,All New G80 2.5 ,"135,000원",가솔린 ,5,,,,,
2023.7.30,일,제네시스 G80 3.3 ,"135,000원",가솔린 ,5,,,,,
2023.7.30,일,더 마스터 쏘렌토 4WD ,"136,500원",디젤 ,7,,,,,
2023.7.30,일,싼타페 TM 4WD ,"136,500원",디젤 ,7,,,,,
2023.7.30,일,THE NEW G70 2.0 ,"145,600원",가솔린 ,5,,,,,
2023.7.30,일,TESLA MODEL 3 ,"148,500원",전기 ,5,,,,,
2023.7.30,일,G70 SHOOTING BRAKE ,"149,500원",가솔린 ,5,,,,,
2023.7.30,일,GV60 4WD ,"154,000원",전기 ,5,,,,,
2023.7.30,일,GV70 ,"165,000원",전기 ,5,,,,,
2023.7.30,일,THE K9 3.8 ,"171,000원",가솔린 ,5,,,,,
2023.7.30,일,팰리세이드 4WD ,"181,500원",디젤 ,8,,,,,
2023.7.30,일,All New G80 ,"193,500원",전기 ,5,,,,,
2023.7.30,일,더 뉴 카니발 ,"198,000원",디젤 ,9,,,,,
2023.7.30,일,GV80 4WD ,"220,000원",디젤 ,7,,,,,
2023.7.30,일,G90 3.8 ,"220,500원",가솔린 ,5,,,,,
2023.7.30,일,카니발 KA4 하이리무진 ,"234,000원",가솔린 ,7,,,,,
2023.7.30,일,쏠라티 ,"522,500원",디젤 ,15,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,